content;content_language;content_ori;sentiment
ótima foto;en-us;great picture;Neutral
Assisti ao filme três vezes e ainda acho que um é o melhor filme que vi há muito tempo. Amo.;en-us;watched movie three time still find one best movie seen long time love;Positive
filme clássico Shirley Temple incrível, inocência infantil clássica, ótimo filme para se sentir bem;en-us;classic movie shirley temple awesome classic child like innocence great feel good movie;Positive
cancelamento ruim da série;en-us;bad cancel series;Negative
momento;en-us;moment;Neutral
mostre um ótimo ator, boa atuação, série engraçada, tempo, qualquer pessoa, qualquer idade, deve ver;en-us;show great actor good acting funny series time anyone age must see;Positive
como jovem Perry Mason, amo filme, esperando vir DVD;en-us;like young perry mason love movie waiting come dvd;Neutral
quero programa julian fellow;en-us;want program julian fellow;Neutral
ótimo filme;en-us;great movie;Neutral
filme seguro, ótimo personagem, bom para um encontro;en-us;safe movie great character good date night film;Positive
um dos filmes de animação mais engraçados desde Era do Gelo, Madagascar, com um talento para piadas e humor malicioso;en-us;one funniest animated film sense ice age madagascar like evil talent joke;Positive
amarrar ponta solta, aleluia;en-us;tie loose end huray;Neutral
filme incrível, adorei a versão original, mesmo com cenas extras, a imagem da versão mais recente funciona.;en-us;awesome movie love original version even come additional footage picture newer version work;Positive
A criança adorou o disco, parece ser de boa qualidade embora usado bastante ainda. Definitivamente um clássico, sei que o final do livro é diferente.;en-us;kid loved disc seems good quality although used much yet definite classic know different book ending;Positive
adaptação cinematográfica do livro vai muito bem, um disse, ambientando a história em um filme trinta anos depois. O livro impede a linha da história de Carol, uma enfermeira e criança em um campo de concentração nazista. Um relacionamento se desenvolveu. Roy pulou o curso do filme já que foi definido trinta anos depois, um jovem em um campo de concentração na Segunda Guerra Mundial. Muito diálogo de Thompson no livro e no filme, outro tempo sempre se encaixa no cenário, colocando o filme trinta anos no futuro. Uma ótima adaptação, fiel à história de Thompson. Anjelica Huston é perfeita como John Cusack e Annette Bening são desleixadas, mas excelentes em um filme superbamente feito.;en-us;movie adaption book go great one said setting time film thirty year later book prevents story line carol nurse child nazi concentration camp developed relationship roy skipped movie course since set thirty year later young concentration camp world war ii much thompson dialogue book film another time always fit time setting aside moving movie thirty year future great adaption faithful thompson story anjelica huston perfect john cusack annette bening shabby either superb film;Positive
chegou mais cedo do que o esperado, ótima experiência, recomendaria a um amigo;en-us;came earlier thought great experince would recommend friend;Positive
ansioso para obter a temporada, recusar, refém, prática predatória, estúdio liberando show, driblar episódio, tempo, menos episódio, disco aumentar preço, aumento de custo, próxima temporada, temporada inteira oferecida, preço do lixo, espero que todos os outros se juntem ao boicote, tática, hamilton, hambúrguer, virtualmente sempre perdido tempo, estúdio perdedor;en-us;looking forward getting season refuse held hostage predatory practice studio releasing show dribble episode time fewer episode disc raise price increase cost next season entire season offered price le refuse ripped hope everyone else join boycotting tactic hamilton burger virtually always lost time studio loser;Negative
