llm;size;f1;accuracy;precision;recall;Model Family;f1_sem
gpt-4o;-1.0;0.8591;0.861;0.8614;0.861;GPT;0.0114
gpt-4o-mini;-1.0;0.83;0.835;0.8399;0.835;GPT;0.0121
deepseek-r1-distill-llama-70b;70.0;0.8449;0.845;0.8455;0.845;Deepseek;0.0114
deepseek-r1-distill-qwen-32b;32.0;0.8633;0.863;0.8644;0.863;Deepseek;0.0106
deepseek-r1-distill-qwen-14b;14.0;0.8483;0.849;0.8514;0.849;Deepseek;0.0114
deepseek-r1-distill-llama-8b;8.0;0.8483;0.849;0.8514;0.849;Deepseek;0.0112
deepseek-r1-distill-qwen-1.5b;1.5;0.6143;0.601;0.6287;0.601;Deepseek;0.0151
gemma-3-27b-it;27.0;0.8487;0.851;0.8532;0.851;Gemma;0.0115
gemma-3-12b-it;12.0;0.8228;0.822;0.8263;0.822;Gemma;0.0119
gemma-3-4b-it;4.0;0.7493;0.768;0.7964;0.768;Gemma;0.0153
gemma-3-1b-it;1.0;0.7508;0.763;0.8136;0.763;Gemma;0.0151
llama-3.3-70b-instruct;70.0;0.8197;0.825;0.8289;0.825;LLaMA;0.0128
meta-llama-3-8b-instruct;8.0;0.7902;0.769;0.8205;0.769;LLaMA;0.0133
llama-3.2-3b-instruct;3.0;0.6734;0.622;0.7654;0.622;LLaMA;0.0155
llama-3.2-1b-instruct;1.0;0.2138;0.129;0.7187;0.129;LLaMA;0.0149
qwen3-32b;32.0;0.8394;0.84;0.8412;0.84;Qwen;0.012
qwen3-30b-a3b;30.0;0.8405;0.841;0.8427;0.841;Qwen;0.0118
qwen3-14b;14.0;0.8405;0.841;0.8427;0.841;Qwen;0.0116
qwen3-8b;8.0;0.8175;0.818;0.8195;0.818;Qwen;0.0126
qwen3-1.7b;1.7;0.8005;0.802;0.8068;0.802;Qwen;0.013
qwen3-0.6b;0.6;0.6931;0.708;0.709;0.708;Qwen;0.0157
phi-4;14.8;0.8295;0.833;0.8346;0.833;Phi;0.012
phi-4-mini-instruct;3.8;0.8033;0.796;0.8189;0.796;Phi;0.0126
zephyr-7b-beta;7.0;0.8033;0.796;0.8189;0.796;Zephyr;0.0124
stablelm-zephyr-3b;3.0;0.8033;0.796;0.8189;0.796;Zephyr;0.0125
stablelm-2-zephyr-1_6b;1.6;0.8033;0.796;0.8189;0.796;Zephyr;0.0126
mistral-small-3.1-24b-instruct-2503;24.0;0.801;0.8;0.8098;0.8;Mistral;0.0124
mistral-7b-instruct-v0.3;7.0;0.7903;0.784;0.8203;0.784;Mistral;0.0124
