llm;size;f1;accuracy;precision;recall;Model Family;f1_sem
gpt-4o;-1.0;0.7894;0.78;0.8309;0.78;GPT;0.0122
gpt-4o-mini;-1.0;0.7835;0.773;0.8226;0.773;GPT;0.0122
deepseek-r1-distill-llama-70b;70.0;0.8123;0.806;0.8348;0.806;Deepseek;0.0118
deepseek-r1-distill-qwen-32b;32.0;0.84;0.836;0.8515;0.836;Deepseek;0.0109
deepseek-r1-distill-qwen-14b;14.0;0.8088;0.805;0.8218;0.805;Deepseek;0.0118
deepseek-r1-distill-llama-8b;8.0;0.8088;0.805;0.8218;0.805;Deepseek;0.0121
deepseek-r1-distill-qwen-1.5b;1.5;0.6153;0.607;0.6447;0.607;Deepseek;0.0156
gemma-3-27b-it;27.0;0.8242;0.821;0.8358;0.821;Gemma;0.0118
gemma-3-12b-it;12.0;0.8075;0.803;0.828;0.803;Gemma;0.0116
gemma-3-4b-it;4.0;0.7822;0.775;0.8181;0.775;Gemma;0.0123
gemma-3-1b-it;1.0;0.8114;0.809;0.8231;0.809;Gemma;0.0123
llama-3.3-70b-instruct;70.0;0.8409;0.841;0.8411;0.841;LLaMA;0.0114
meta-llama-3-8b-instruct;8.0;0.8153;0.812;0.8219;0.812;LLaMA;0.0119
llama-3.2-3b-instruct;3.0;0.8043;0.804;0.805;0.804;LLaMA;0.0125
llama-3.2-1b-instruct;1.0;0.7995;0.804;0.8206;0.804;LLaMA;0.0129
qwen3-32b;32.0;0.8138;0.809;0.8267;0.809;Qwen;0.012
qwen3-30b-a3b;30.0;0.8256;0.819;0.8392;0.819;Qwen;0.0115
qwen3-14b;14.0;0.8256;0.819;0.8392;0.819;Qwen;0.0115
qwen3-8b;8.0;0.8097;0.806;0.8184;0.806;Qwen;0.0124
qwen3-1.7b;1.7;0.7987;0.8;0.7999;0.8;Qwen;0.0132
qwen3-0.6b;0.6;0.7181;0.715;0.7234;0.715;Qwen;0.0147
phi-4;14.8;0.8038;0.795;0.834;0.795;Phi;0.0122
phi-4-mini-instruct;3.8;0.757;0.744;0.8159;0.744;Phi;0.0127
zephyr-7b-beta;7.0;0.757;0.744;0.8159;0.744;Zephyr;0.0128
stablelm-zephyr-3b;3.0;0.757;0.744;0.8159;0.744;Zephyr;0.0131
stablelm-2-zephyr-1_6b;1.6;0.757;0.744;0.8159;0.744;Zephyr;0.013
mistral-small-3.1-24b-instruct-2503;24.0;0.7998;0.792;0.8254;0.792;Mistral;0.0119
mistral-7b-instruct-v0.3;7.0;0.7721;0.76;0.813;0.76;Mistral;0.0127
