llm;size;f1;accuracy;precision;recall;Model Family;f1_sem
gpt-4o;-1.0;0.7095;0.7147;0.7199;0.7147;GPT;0.0151
gpt-4o-mini;-1.0;0.7107;0.7097;0.7179;0.7097;GPT;0.0147
deepseek-r1-distill-llama-70b;70.0;0.6986;0.7047;0.7007;0.7047;Deepseek;0.0149
deepseek-r1-distill-qwen-32b;32.0;0.6573;0.6857;0.6795;0.6857;Deepseek;0.0166
deepseek-r1-distill-qwen-14b;14.0;0.6602;0.6797;0.6713;0.6797;Deepseek;0.0164
deepseek-r1-distill-llama-8b;8.0;0.6592;0.6747;0.6671;0.6747;Deepseek;0.0162
deepseek-r1-distill-qwen-1.5b;1.5;0.6119;0.6206;0.6162;0.6206;Deepseek;0.0159
gemma-3-27b-it;27.0;0.7069;0.7137;0.7161;0.7137;Gemma;0.0146
gemma-3-12b-it;12.0;0.6894;0.6947;0.7025;0.6947;Gemma;0.0148
gemma-3-4b-it;4.0;0.6604;0.6827;0.6768;0.6827;Gemma;0.0167
gemma-3-1b-it;1.0;0.5604;0.6266;0.6281;0.6266;Gemma;0.0179
llama-3.3-70b-instruct;70.0;0.7147;0.7247;0.7223;0.7247;LLaMA;0.0151
meta-llama-3-8b-instruct;8.0;0.7131;0.7227;0.7312;0.7227;LLaMA;0.0151
llama-3.2-3b-instruct;3.0;0.6759;0.6937;0.6975;0.6937;LLaMA;0.0161
llama-3.2-1b-instruct;1.0;0.5221;0.6196;0.6324;0.6196;LLaMA;0.019
qwen3-32b;32.0;0.6878;0.6987;0.6961;0.6987;Qwen;0.0155
qwen3-30b-a3b;30.0;0.6779;0.6977;0.6933;0.6977;Qwen;0.0165
qwen3-14b;14.0;0.6853;0.6967;0.7006;0.6967;Qwen;0.0153
qwen3-8b;8.0;0.6525;0.6757;0.6743;0.6757;Qwen;0.017
qwen3-1.7b;1.7;0.6215;0.6587;0.6512;0.6587;Qwen;0.0177
qwen3-0.6b;0.6;0.5728;0.6236;0.6202;0.6236;Qwen;0.018
phi-4;14.8;0.715;0.7167;0.7225;0.7167;Phi;0.0149
phi-4-mini-instruct;3.8;0.6795;0.6787;0.7054;0.6787;Phi;0.0147
zephyr-7b-beta;7.0;0.7092;0.7027;0.718;0.7027;Zephyr;0.0141
stablelm-zephyr-3b;3.0;0.5365;0.4444;0.6842;0.4444;Zephyr;0.0168
stablelm-2-zephyr-1_6b;1.6;0.3447;0.2342;0.6636;0.2342;Zephyr;0.0168
mistral-small-3.1-24b-instruct-2503;24.0;0.6752;0.6767;0.6986;0.6767;Mistral;0.0148
mistral-7b-instruct-v0.3;7.0;0.6852;0.6867;0.7038;0.6867;Mistral;0.0149
yi-34b;34.0;0.6015;0.6627;0.6897;0.6627;Yi;0.0179
yi-9b;9.0;0.6788;0.6907;0.6934;0.6907;Yi;0.0159
yi-6b;6.0;0.002;0.001;0.3333;0.001;Yi;0.0019
